aircraft_id,seat_id,cabin,seat_type,extra_legroom
AC-2,1A,business,window,False
AC-2,1B,business,aisle,False
AC-2,1C,business,aisle,False
AC-2,1D,business,window,False
AC-2,2A,business,window,True
AC-2,2B,business,aisle,True
AC-2,2C,business,aisle,True
AC-2,2D,business,window,True
AC-2,3A,economy,window,False
AC-2,3B,economy,aisle,False
AC-2,3C,economy,middle,False
AC-2,3D,economy,aisle,False
AC-2,3E,economy,aisle,False
AC-2,3F,economy,middle,False
AC-2,3G,economy,aisle,False
AC-2,3H,economy,window,False
AC-2,4A,economy,window,True
AC-2,4B,economy,aisle,True
AC-2,4C,economy,middle,False
AC-2,4D,economy,aisle,False
AC-2,4E,economy,aisle,False
AC-2,4F,economy,middle,False
AC-2,4G,economy,aisle,False
AC-2,4H,economy,window,True
